"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\resources\slider_end.dart", "Dart", 0, 103, 11, 114
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\resources\sub_list.dart", "Dart", 25, 0, 4, 29
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\resources\tutorial_card\tutorial_card.dart", "Dart", 228, 1, 28, 257
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\resources\visible_pages.dart", "Dart", 33, 1, 11, 45
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\snackbars\all.dart", "Dart", 3, 0, 0, 3
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\snackbars\counter_selector.dart", "Dart", 19, 1, 5, 25
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\snackbars\design.dart", "Dart", 25, 0, 8, 33
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\snackbars\restart_game.dart", "Dart", 12, 0, 4, 16
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\app_title\top_bar.dart", "Dart", 29, 5, 8, 42
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\body\body.dart", "Dart", 182, 3, 22, 207
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\body\components.dart", "Dart", 2, 0, 0, 2
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\body\group\group.dart", "Dart", 119, 6, 16, 141
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\body\group\player_tile.dart", "Dart", 541, 11, 30, 582
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\body\group\player_tile_gestures.dart", "Dart", 142, 31, 19, 192
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\body\group\player_tile_utilities.dart", "Dart", 148, 4, 9, 161
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\body\history\current_state_tile.dart", "Dart", 137, 8, 15, 160
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\body\history\history.dart", "Dart", 63, 1, 9, 73
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\body\history\history_player_tile.dart", "Dart", 121, 13, 23, 157
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\body\history\history_tile.dart", "Dart", 177, 0, 14, 191
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\collapsed_components\circle_button.dart", "Dart", 111, 6, 21, 138
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\collapsed_components\delayer.dart", "Dart", 335, 0, 52, 387
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\all.dart", "Dart", 4, 0, 1, 5
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\game_components\all.dart", "Dart", 3, 0, 1, 4
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\game_components\extras.dart", "Dart", 98, 2, 18, 118
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\game_components\page_pie.dart", "Dart", 101, 0, 8, 109
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\game_components\starting_life.dart", "Dart", 74, 1, 13, 88
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\info_components\actions.dart", "Dart", 54, 1, 10, 65
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\info_components\all.dart", "Dart", 3, 0, 0, 3
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\info_components\development.dart", "Dart", 77, 0, 11, 88
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\info_components\useful.dart", "Dart", 44, 8, 6, 58
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\panel_game.dart", "Dart", 43, 0, 4, 47
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\panel_info.dart", "Dart", 25, 0, 6, 31
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\panel_settings.dart", "Dart", 33, 0, 5, 38
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\panel_theme.dart", "Dart", 35, 0, 8, 43
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\settings_components\all.dart", "Dart", 3, 0, 0, 3
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\settings_components\appearance.dart", "Dart", 115, 0, 15, 130
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\widgets\stage\panel\extended_components\settings_components\behavior.dart", "Dart", 58, 0, 4, 62
